Image_ID,Person,Child,Building,Horse,Ambiguity_Score_1_to_5,Interpretability_1_to_5,Authenticity_1_to_5,Primary_Scene,Notes
PPN1819090841/00000455_0,0,1,1,1,4,3,4,landscape,[SIMULATED_B]
PPN1852841419/00000002_22,1,0,0,1,2,4,5,landscape,[SIMULATED_B]
PPN1819090841/00000659_0,1,0,0,0,3,2,4,landscape,[SIMULATED_B]
PPN1850474036/00000097_0,1,0,0,1,3,2,4,landscape,[SIMULATED_B]
PPN1852146427/00000065_26,1,0,0,1,3,3,5,landscape,[SIMULATED_B]
PPN1800050860/00000178_0,0,1,1,0,3,2,5,landscape,[SIMULATED_B]
PPN1806916487/00000233_0,0,1,0,0,3,3,3,landscape,[SIMULATED_B]
PPN1839655909/00000154_1,0,1,0,1,2,5,3,landscape,[SIMULATED_B]
PPN1787969436/00000041_1,1,1,0,1,1,5,4,landscape,[SIMULATED_B]
PPN1859148263/00000023_3,0,0,1,1,1,5,4,landscape,[SIMULATED_B]
PPN184976428X/00000056_1,0,1,0,0,5,2,3,landscape,[SIMULATED_B]
PPN1771994142/00000039_2,1,0,0,1,4,1,5,landscape,[SIMULATED_B]
PPN1877454060/00000003_5,0,1,1,1,5,1,5,landscape,[SIMULATED_B]
PPN1841981508/00000093_0,0,0,0,1,1,5,5,landscape,[SIMULATED_B]
PPN1885814690/00000162_0,0,0,0,0,5,1,4,landscape,[SIMULATED_B]
PPN1756648816/00000200_0,1,0,1,1,5,2,4,landscape,[SIMULATED_B]
PPN1839645326/00000124_8,1,1,1,1,5,1,5,landscape,[SIMULATED_B]
PPN1819090841/00000551_0,0,1,1,1,2,4,4,landscape,[SIMULATED_B]
PPN1830256866/00000097_0,1,0,1,0,1,5,5,landscape,[SIMULATED_B]
PPN1771331674/00000090_0,1,1,1,1,1,5,5,landscape,[SIMULATED_B]
PPN1881728234/00000100_0,1,0,0,1,5,1,5,landscape,[SIMULATED_B]
PPN183042405X/00000001_5,1,0,0,1,5,1,4,landscape,[SIMULATED_B]
PPN1870482085/00000154_1,0,0,1,0,4,2,5,landscape,[SIMULATED_B]
PPN1836942591/00000005_5,0,1,0,0,5,1,5,landscape,[SIMULATED_B]
PPN1855316196/00000191_2,0,0,1,1,4,3,3,landscape,[SIMULATED_B]
PPN1811271073/00000267_0,0,1,0,1,3,2,5,landscape,[SIMULATED_B]
PPN1780419686/00000095_3,0,0,0,1,5,2,4,landscape,[SIMULATED_B]
PPN1772048259/00000035_6,0,0,1,1,3,3,4,landscape,[SIMULATED_B]
PPN1837132763/00000145_0,1,1,0,0,1,5,5,landscape,[SIMULATED_B]
PPN1882292502/00000126_1,1,1,1,1,5,1,5,landscape,[SIMULATED_B]
PPN1843312956/00000210_0,0,1,1,0,1,5,5,landscape,[SIMULATED_B]
PPN1782363319/00000060_1,0,0,1,1,2,5,5,landscape,[SIMULATED_B]
PPN1817943693/00000210_0,1,0,0,0,4,1,4,landscape,[SIMULATED_B]
PPN1843328569/00000202_0,0,1,0,0,3,5,5,landscape,[SIMULATED_B]
PPN1858427991/00000257_1,1,0,0,0,3,2,3,landscape,[SIMULATED_B]
PPN1787971147/00000271_0,1,0,1,0,5,2,5,landscape,[SIMULATED_B]
PPN1808679490/00000358_0,1,0,1,0,1,5,4,landscape,[SIMULATED_B]
PPN1852842075/00000151_0,0,0,0,0,4,2,4,landscape,[SIMULATED_B]
PPN1760700134/00000009_0,0,1,0,1,1,5,4,landscape,[SIMULATED_B]
PPN1845303032/00000016_2,1,1,1,0,1,5,4,landscape,[SIMULATED_B]
PPN1772046205/00000019_2,0,0,0,0,4,2,4,landscape,[SIMULATED_B]
PPN1759088099/00000045_1,1,1,0,1,4,3,5,landscape,[SIMULATED_B]
PPN1850626103/00000018_1,1,0,0,1,1,5,4,landscape,[SIMULATED_B]
PPN1835753604/00000233_0,1,0,1,0,1,4,3,landscape,[SIMULATED_B]
PPN1771331674/00000121_0,0,1,0,0,4,1,5,landscape,[SIMULATED_B]
PPN1870669606/00000255_2,0,1,1,0,1,4,5,landscape,[SIMULATED_B]
PPN1838205772/00000164_0,0,1,0,0,5,1,4,landscape,[SIMULATED_B]
PPN1860821111/00000244_0,1,0,0,0,5,1,4,landscape,[SIMULATED_B]
PPN1771912995/00000022_0,1,1,0,0,1,4,5,landscape,[SIMULATED_B]
PPN1866632019/00000259_0,1,0,0,0,5,1,4,landscape,[SIMULATED_B]
PPN1849815070/00000225_0,1,1,0,0,3,2,3,landscape,[SIMULATED_B]
PPN1787312739/00000121_0,1,1,1,1,1,5,4,landscape,[SIMULATED_B]
PPN1756648816/00000226_0,1,1,0,0,4,3,4,landscape,[SIMULATED_B]
PPN1780419686/00000072_1,0,1,0,0,4,1,4,landscape,[SIMULATED_B]
PPN1841060186/00000201_0,0,1,0,1,1,5,3,landscape,[SIMULATED_B]
PPN1839645326/00000112_1,1,1,0,1,4,1,4,landscape,[SIMULATED_B]
PPN1774683148/00000138_0,0,0,1,0,4,3,3,landscape,[SIMULATED_B]
PPN1860720595/00000070_4,0,0,1,1,4,2,4,landscape,[SIMULATED_B]
PPN1841060186/00000222_0,0,1,0,0,4,2,3,landscape,[SIMULATED_B]
PPN177179075X/00000071_1,1,1,1,0,5,3,4,landscape,[SIMULATED_B]
PPN1838145761/00000037_3,1,0,1,1,5,1,3,landscape,[SIMULATED_B]
PPN1880349418/00000087_1,0,0,0,1,4,3,4,landscape,[SIMULATED_B]
PPN1859148263/00000013_2,1,1,0,1,1,5,4,landscape,[SIMULATED_B]
PPN1762700875/00000051_2,1,1,1,1,3,4,3,landscape,[SIMULATED_B]
PPN1852244852/00000212_0,0,0,1,1,1,5,4,landscape,[SIMULATED_B]
PPN1763002977/00000029_0,1,1,0,1,2,5,5,landscape,[SIMULATED_B]
PPN1778005683/00000421_0,0,0,1,1,1,4,4,landscape,[SIMULATED_B]
PPN1844594661/00000183_0,1,1,0,1,2,5,3,landscape,[SIMULATED_B]
PPN1831247097/00000199_0,0,0,0,1,4,2,5,landscape,[SIMULATED_B]
PPN1833270207/00000145_0,1,0,0,1,1,5,5,landscape,[SIMULATED_B]
PPN180755645X/00000376_1,1,1,1,0,5,1,5,landscape,[SIMULATED_B]
PPN1852064943/00000183_0,0,0,1,1,3,2,4,landscape,[SIMULATED_B]
PPN1789090830/00000127_0,0,1,1,0,4,2,4,landscape,[SIMULATED_B]
PPN1770455108/00000053_1,1,0,1,0,3,3,5,landscape,[SIMULATED_B]
PPN1762691108/00000106_0,0,0,1,0,5,1,4,landscape,[SIMULATED_B]
PPN1756642230/00000146_0,1,0,1,1,1,5,4,landscape,[SIMULATED_B]
PPN1822813441/00000455_0,1,0,1,1,3,2,4,landscape,[SIMULATED_B]
PPN1771733616/00000052_0,0,0,1,1,3,2,3,landscape,[SIMULATED_B]
PPN1879896990/00000008_3,1,0,1,1,4,2,5,landscape,[SIMULATED_B]
PPN1756904235/00000057_1,0,1,1,0,2,3,4,landscape,[SIMULATED_B]
PPN1882268474/00000047_1,0,1,0,0,1,3,3,landscape,[SIMULATED_B]
PPN1788434331/00000093_0,0,0,1,0,4,3,5,landscape,[SIMULATED_B]
PPN1882292502/00000136_0,1,1,1,0,5,1,4,landscape,[SIMULATED_B]
PPN1782363319/00000288_0,0,1,1,0,2,5,4,landscape,[SIMULATED_B]
PPN180755645X/00000495_0,1,1,0,1,1,4,4,landscape,[SIMULATED_B]
PPN180755645X/00000230_0,1,0,1,0,3,2,4,landscape,[SIMULATED_B]
PPN1852244852/00000243_0,0,0,0,1,1,5,3,landscape,[SIMULATED_B]
PPN1816500674/00000605_0,0,1,0,0,1,4,4,landscape,[SIMULATED_B]
PPN1811903908/00000001_4,1,0,1,0,5,1,4,landscape,[SIMULATED_B]
PPN180755645X/00000540_0,1,1,1,1,2,3,4,landscape,[SIMULATED_B]
PPN182680546X/00000157_1,1,1,1,0,5,1,5,landscape,[SIMULATED_B]
PPN1823855598/00000006_0,0,1,1,1,3,2,5,landscape,[SIMULATED_B]
PPN1838111166/00000040_1,0,1,0,0,3,3,4,landscape,[SIMULATED_B]
PPN1879901595/00000063_3,1,1,0,1,3,3,3,landscape,[SIMULATED_B]
PPN1859200435/00000057_2,1,0,1,0,5,2,4,landscape,[SIMULATED_B]
PPN177133276X/00000121_10,0,0,1,0,4,2,4,landscape,[SIMULATED_B]
PPN1850440360/00000062_1,1,0,1,0,2,2,4,landscape,[SIMULATED_B]
PPN1826657495/00000054_1,0,0,1,1,5,2,5,landscape,[SIMULATED_B]
PPN1845472047/00000080_1,1,1,0,0,3,3,4,landscape,[SIMULATED_B]
PPN1816407607/00000145_0,1,1,1,0,4,2,4,landscape,[SIMULATED_B]
PPN180755645X/00000418_0,0,0,0,1,2,3,4,landscape,[SIMULATED_B]
PPN1822483654/00000587_0,1,0,1,0,3,3,3,landscape,[SIMULATED_B]
PPN181248335X/00000197_0,0,1,1,0,1,5,5,landscape,[SIMULATED_B]
PPN1782123903/00000215_1,0,1,0,1,5,1,3,landscape,[SIMULATED_B]
PPN1772436712/00000127_0,0,1,0,1,1,5,5,landscape,[SIMULATED_B]
PPN1774450461/00000295_0,1,0,1,1,1,5,4,landscape,[SIMULATED_B]
PPN1880109913/00000053_4,1,1,0,0,4,1,5,landscape,[SIMULATED_B]
PPN1837157073/00000118_4,1,1,0,1,3,3,4,landscape,[SIMULATED_B]
PPN1860887732/00000127_0,1,0,1,1,4,2,4,landscape,[SIMULATED_B]
PPN1759212040/00000041_1,0,1,1,1,3,1,4,landscape,[SIMULATED_B]
PPN1870672666/00000057_1,1,1,0,0,5,1,5,landscape,[SIMULATED_B]
PPN1830506005/00000246_0,0,1,1,0,4,2,3,landscape,[SIMULATED_B]
PPN1849786305/00000143_0,0,0,0,1,1,5,4,landscape,[SIMULATED_B]
PPN1843322943/00000121_0,1,1,0,0,4,3,3,landscape,[SIMULATED_B]
PPN1816495867/00000003_4,0,0,1,0,4,1,4,landscape,[SIMULATED_B]
PPN1859148263/00000087_1,1,1,0,1,5,1,5,landscape,[SIMULATED_B]
PPN1852244852/00000146_0,1,1,0,1,2,3,3,landscape,[SIMULATED_B]
PPN1845388925/00000026_0,0,0,1,1,3,1,4,landscape,[SIMULATED_B]
PPN1772211451/00000101_0,0,1,1,0,2,2,4,landscape,[SIMULATED_B]
PPN1797613367/00000051_2,0,1,0,0,5,3,3,landscape,[SIMULATED_B]
PPN1772229946/00000024_0,0,1,0,0,3,2,4,landscape,[SIMULATED_B]
PPN185280324X/00000063_1,0,0,1,0,5,1,4,landscape,[SIMULATED_B]
PPN1826614516/00000282_1,0,1,1,1,4,2,4,landscape,[SIMULATED_B]
PPN1852146427/00000065_20,1,1,0,0,3,3,3,landscape,[SIMULATED_B]
PPN1794507205/00000479_0,0,0,1,1,4,3,5,landscape,[SIMULATED_B]
PPN1802566740/00000409_0,1,0,0,0,3,2,5,landscape,[SIMULATED_B]
PPN1819090841/00000538_0,1,0,0,0,1,5,5,landscape,[SIMULATED_B]
PPN1881728234/00000237_0,1,1,1,1,1,5,5,landscape,[SIMULATED_B]
PPN187980963X/00000059_1,1,0,1,0,1,4,4,landscape,[SIMULATED_B]
PPN1852844175/00000061_1,1,0,0,0,1,5,5,landscape,[SIMULATED_B]
PPN1837925887/00000038_2,1,0,0,0,4,3,3,landscape,[SIMULATED_B]
PPN1837925887/00000013_3,0,0,1,0,4,1,4,landscape,[SIMULATED_B]
PPN1852842075/00000159_0,0,0,0,0,3,2,4,landscape,[SIMULATED_B]
PPN1756910774/00000231_0,0,1,0,1,5,1,3,landscape,[SIMULATED_B]
PPN1780419686/00000087_2,0,0,1,0,1,5,5,landscape,[SIMULATED_B]
PPN1882292502/00000073_2,1,1,1,1,5,2,5,landscape,[SIMULATED_B]
PPN1845194233/00000097_1,0,0,1,1,3,1,5,landscape,[SIMULATED_B]
PPN1818215756/00000316_0,1,1,1,1,5,3,5,landscape,[SIMULATED_B]
PPN1771056967/00000005_0,0,0,0,0,4,3,4,landscape,[SIMULATED_B]
PPN1839645326/00000112_5,0,1,1,1,5,2,3,landscape,[SIMULATED_B]
PPN1814669396/00000314_0,1,1,1,0,4,2,4,landscape,[SIMULATED_B]
PPN1845706587/00000053_1,1,1,1,1,1,5,3,landscape,[SIMULATED_B]
PPN1822235464/00000052_0,1,0,1,0,2,5,4,landscape,[SIMULATED_B]
PPN1858729343/00000128_0,0,1,0,0,4,3,5,landscape,[SIMULATED_B]
PPN1819459160/00000052_0,0,0,0,0,1,5,4,landscape,[SIMULATED_B]
PPN184183064X/00000101_0,0,0,1,0,3,2,4,landscape,[SIMULATED_B]
PPN1817987607/00000557_0,0,1,1,0,3,3,5,landscape,[SIMULATED_B]
PPN1838145761/00000074_2,0,1,1,1,4,1,3,landscape,[SIMULATED_B]
PPN1839561904/00000159_0,1,1,0,0,2,5,5,landscape,[SIMULATED_B]
PPN1762780186/00000051_1,1,0,1,0,4,3,4,landscape,[SIMULATED_B]
PPN1756641218/00000080_0,0,0,1,0,5,1,4,landscape,[SIMULATED_B]
PPN1831060035/00000024_4,0,0,1,1,3,4,4,landscape,[SIMULATED_B]
PPN1845189213/00000487_0,0,1,0,0,1,5,5,landscape,[SIMULATED_B]
PPN1813409153/00000277_0,1,0,1,1,3,3,3,landscape,[SIMULATED_B]
PPN1772229946/00000111_0,0,0,1,1,4,3,5,landscape,[SIMULATED_B]
PPN1831218518/00000104_0,1,1,0,0,5,2,4,landscape,[SIMULATED_B]
PPN1778949681/00000262_0,0,1,1,1,1,5,5,landscape,[SIMULATED_B]
PPN1849815070/00000147_0,1,0,0,0,2,5,3,landscape,[SIMULATED_B]
PPN180755645X/00000382_0,0,1,1,0,2,3,4,landscape,[SIMULATED_B]
PPN1819090841/00000582_0,1,0,1,0,2,4,4,landscape,[SIMULATED_B]
PPN1816500674/00000606_0,1,0,0,0,2,5,5,landscape,[SIMULATED_B]
PPN1845710797/00000355_0,1,1,0,0,5,1,5,landscape,[SIMULATED_B]
PPN185448768X/00000333_0,0,0,1,0,1,5,4,landscape,[SIMULATED_B]
PPN1852905581/00000212_0,0,0,1,1,1,5,5,landscape,[SIMULATED_B]
PPN1808605667/00000078_0,1,1,1,1,1,5,4,landscape,[SIMULATED_B]
PPN1841060186/00000159_0,1,0,0,1,2,2,4,landscape,[SIMULATED_B]
PPN1772229946/00000125_0,0,1,0,0,1,5,4,landscape,[SIMULATED_B]
PPN1816500674/00000436_0,0,0,0,0,3,3,4,landscape,[SIMULATED_B]
PPN1843286874/00000183_0,1,0,0,1,1,5,4,landscape,[SIMULATED_B]
PPN184563246X/00000186_0,0,0,1,0,1,4,4,landscape,[SIMULATED_B]
PPN1882292502/00000113_1,0,1,1,0,5,2,4,landscape,[SIMULATED_B]
PPN1816500674/00000706_0,0,0,1,1,1,5,5,landscape,[SIMULATED_B]
PPN1837937834/00000316_0,1,0,1,0,2,4,4,landscape,[SIMULATED_B]
PPN1841054100/00000127_0,1,0,0,1,5,3,5,landscape,[SIMULATED_B]
PPN1819090841/00000657_0,1,0,1,1,1,5,4,landscape,[SIMULATED_B]
PPN1762638053/00000037_3,1,0,1,0,3,3,4,landscape,[SIMULATED_B]
PPN1879729601/00000027_3,1,1,0,0,4,3,3,landscape,[SIMULATED_B]
PPN1819107507/00000304_3,1,1,0,0,5,1,4,landscape,[SIMULATED_B]
PPN1844594661/00000206_0,0,0,0,0,3,2,4,landscape,[SIMULATED_B]
PPN1822483654/00000259_0,1,0,1,0,1,4,4,landscape,[SIMULATED_B]
PPN1869138759/00000093_0,0,1,1,0,1,4,4,landscape,[SIMULATED_B]
PPN1772174904/00000016_2,1,1,0,0,1,5,5,landscape,[SIMULATED_B]
PPN1777233178/00000139_9,1,1,1,0,4,2,3,landscape,[SIMULATED_B]
PPN1806899604/00000106_0,0,0,0,1,1,5,4,landscape,[SIMULATED_B]
PPN1771912375/00000010_4,0,1,0,1,1,4,5,landscape,[SIMULATED_B]
PPN1787397416/00000040_1,0,0,0,1,2,5,4,landscape,[SIMULATED_B]
PPN1774683148/00000401_0,1,1,0,1,1,4,3,landscape,[SIMULATED_B]
PPN1882292502/00000023_3,0,0,0,0,4,1,4,landscape,[SIMULATED_B]
PPN1772585998/00000121_0,1,1,1,0,2,3,3,landscape,[SIMULATED_B]
PPN181910513X/00000440_0,1,1,0,1,1,5,4,landscape,[SIMULATED_B]
PPN1816492086/00000106_0,0,1,1,1,1,5,3,landscape,[SIMULATED_B]
PPN1818764954/00000101_0,1,1,0,1,1,5,4,landscape,[SIMULATED_B]
PPN1852935251/00000287_0,1,1,0,1,4,3,3,landscape,[SIMULATED_B]
PPN1882292502/00000120_1,1,0,1,0,4,2,5,landscape,[SIMULATED_B]
PPN1839547804/00000080_0,1,1,1,1,1,5,3,landscape,[SIMULATED_B]
PPN1852146427/00000065_15,1,0,0,0,3,2,3,landscape,[SIMULATED_B]
PPN1832100650/00000017_0,0,0,1,1,1,5,4,landscape,[SIMULATED_B]
PPN1843313413/00000460_1,1,0,0,1,5,1,4,landscape,[SIMULATED_B]
PPN1860887732/00000101_0,1,0,0,1,4,1,4,landscape,[SIMULATED_B]
PPN1822483654/00000426_0,1,1,0,0,1,5,4,landscape,[SIMULATED_B]
PPN1815764333/00000260_0,1,0,0,1,1,4,3,landscape,[SIMULATED_B]
PPN1822813441/00000449_1,1,1,0,0,1,5,5,landscape,[SIMULATED_B]
PPN1818215756/00000389_1,0,0,1,1,5,2,4,landscape,[SIMULATED_B]
PPN1852844175/00000140_0,1,1,1,1,1,4,3,landscape,[SIMULATED_B]
PPN1816495867/00000031_2,0,0,0,0,4,2,4,landscape,[SIMULATED_B]
PPN184976428X/00000057_1,1,0,0,1,4,3,4,landscape,[SIMULATED_B]
PPN177179075X/00000027_3,1,0,0,0,3,2,4,landscape,[SIMULATED_B]
PPN180755645X/00000255_2,0,1,0,0,4,1,4,landscape,[SIMULATED_B]
PPN1845704835/00000483_0,0,0,1,1,4,2,5,landscape,[SIMULATED_B]
PPN1881728234/00000282_0,0,0,0,1,5,2,3,landscape,[SIMULATED_B]
PPN1772786799/00000136_0,1,1,1,0,2,5,3,landscape,[SIMULATED_B]
PPN1853328138/00000034_2,0,1,0,0,4,3,5,landscape,[SIMULATED_B]
PPN1831218518/00000228_0,0,1,1,0,4,1,4,landscape,[SIMULATED_B]
PPN1759164895/00000043_1,1,1,1,0,1,5,3,landscape,[SIMULATED_B]
PPN1843328569/00000184_0,1,0,1,1,5,1,3,landscape,[SIMULATED_B]
PPN1758479787/00000017_1,0,0,1,1,2,4,5,landscape,[SIMULATED_B]
PPN1756910774/00000159_2,0,1,1,0,4,2,4,landscape,[SIMULATED_B]
PPN1831066114/00000180_0,1,0,0,0,3,1,4,landscape,[SIMULATED_B]
PPN1793813817/00000499_0,1,1,0,1,1,5,3,landscape,[SIMULATED_B]
PPN1818215756/00000341_1,0,0,1,1,4,1,4,landscape,[SIMULATED_B]
PPN1882268474/00000226_0,1,1,1,1,3,2,5,landscape,[SIMULATED_B]
PPN1851279431/00000212_0,1,0,1,1,4,1,3,landscape,[SIMULATED_B]
PPN1845194233/00000078_1,0,0,0,1,5,2,5,landscape,[SIMULATED_B]
PPN1852786493/00000174_0,1,0,0,1,3,2,3,landscape,[SIMULATED_B]
